םמלונ ךג;עטן ךג.;מב.ןכמש;זטכ.ןכ;ךמכ.ךמל;‎עאז ;Öוםא;צוםא חא ךג.;גטה ;ןמהüוחה;;
43;C;30.20;27.60;1;6;2567000;85000;כוס;ןמהתוחה 1;;
44;1;40.70;37.90;1;6;3459500;85000;כוס;ןמהתוחה 1;;
45;1;40.00;37.20;1;6;3400000;85000;כוס;ןמהתוחה 1;;
46;C;30.20;27.60;1;6;2567000;85000;כוס;ןמהתוחה 1;;
47;E2;50.30;46.70;2;6;4275500;85000;כוס;ןמהתוחה 1;;
48;C;28.40;26.30;1;6;2414000;85000;כוס;ןמהתוחה 1;;
49;E3;70.10;66.90;3;7;5958600;85000;כוס;ןמהתוחה 1;;
50;E2;47.60;44.00;2;7;4046000;85000;כוס;ןמהתוחה 1;;
51;C;30.20;27.60;1;7;2567000;85000;כוס;ןמהתוחה 1;;
52;1;40.70;37.90;1;7;3459500;85000;כוס;ןמהתוחה 1;;
53;1;40.00;37.20;1;7;3400000;85000;כוס;ןמהתוחה 1;;
54;C;30.20;27.60;1;7;2567000;85000;כוס;ןמהתוחה 1;;
55;E2;50.30;46.70;2;7;4275500;85000;כוס;ןמהתוחה 1;;
56;C;28.40;26.30;1;7;2414000;85000;כוס;ןמהתוחה 1;;
57;E3;70.10;66.90;3;8;5958600;85000;כוס;ןמהתוחה 1;;
58;E2;47.60;44.00;2;8;4046000;85000;כוס;ןמהתוחה 1;;
59;C;30.20;27.60;1;8;2567000;85000;כוס;ןמהתוחה 1;;
60;1;40.70;37.90;1;8;3459500;85000;כוס;ןמהתוחה 1;;
61;1;40.00;37.20;1;8;3400000;85000;כוס;ןמהתוחה 1;;
62;C;30.20;27.60;1;8;2567000;85000;כוס;ןמהתוחה 1;;
63;E2;50.30;46.70;2;8;4275500;85000;כוס;ןמהתוחה 1;;
64;C;28.40;26.30;1;8;2414000;85000;כוס;ןמהתוחה 1;;
65;E3;70.10;66.90;3;9;5958600;85000;כוס;ןמהתוחה 1;;
66;E2;47.60;44.00;2;9;4046000;85000;כוס;ןמהתוחה 1;;
67;C;30.20;27.60;1;9;2567000;85000;כוס;ןמהתוחה 1;;
68;1;40.70;37.90;1;9;3459500;85000;כוס;ןמהתוחה 1;;
69;1;40.00;37.20;1;9;3400000;85000;כוס;ןמהתוחה 1;;
70;C;30.20;27.60;1;9;2567000;85000;כוס;ןמהתוחה 1;;
71;E2;50.30;46.70;2;9;4275500;85000;כוס;ןמהתוחה 1;;
72;C;28.40;26.30;1;9;2414000;85000;כוס;ןמהתוחה 1;;
73;E3;70.10;66.90;3;10;5393 700;77 000;הגמנ;ןמהתוחה 1;;
74;E2;47.60;44.00;2;10;3665 200;77 000;כוס;ןמהתוחה 1;;
75;C;30.20;27.60;1;10;2325 400;77 000;כוס;ןמהתוחה 1;;
76;1;40.70;37.90;1;10;3311 900;77 000;כוס;ןמהתוחה 1;;
77;1;40.00;37.20;1;10;3080 000;77 000;כוס;ןמהתוחה 1;;
